iter	RMSE
0	10.1215894
1	10.03196664
2	9.908116487
3	9.748818414
4	9.594894978
5	9.469945517
6	9.351425777
7	9.22089259
8	9.103920709
9	8.983422321
10	8.844999146
11	8.739140611
12	8.618543575
13	8.506612669
14	8.394864563
15	8.295164555
16	8.199036989
17	8.089283956
18	7.97510807
19	7.865560433
20	7.753199514
21	7.629097133
22	7.49655257
23	7.405668803
24	7.308079159
25	7.222451721
26	7.143276867
27	7.057726025
28	6.974355636
29	6.892241512
30	6.792709979
31	6.700215735
32	6.611309967
33	6.520190368
34	6.436677543
35	6.349091433
36	6.273911253
37	6.201497713
38	6.123465427
39	6.025729184
40	5.943734743
41	5.868536244
42	5.797933564
43	5.713701896
44	5.637573078
45	5.563238366
46	5.487954035
47	5.410071783
48	5.346596892
49	5.295664921
50	5.241663586
51	5.17356275
52	5.10512008
53	5.043626438
54	4.973638319
55	4.911819142
56	4.856573202
57	4.793897938
58	4.734571253
59	4.674506984
60	4.610597291
61	4.550915191
62	4.493180175
63	4.432628111
64	4.381821915
65	4.314667579
66	4.258270535
67	4.204530791
68	4.151469407
69	4.093011872
70	4.025462238
71	3.971639661
72	3.921758322
73	3.869776892
74	3.821506437
75	3.775352563
76	3.725608658
77	3.660830476
78	3.617207024
79	3.571881765
80	3.528311163
81	3.474663676
82	3.428593498
83	3.384297599
84	3.348284622
85	3.313043909
86	3.271268661
87	3.227789817
88	3.189829399
89	3.148016137
90	3.10731154
91	3.067524656
92	3.029100884
93	2.991262526
94	2.954324845
95	2.904408096
96	2.868113706
97	2.828320313
98	2.78538508
99	2.750328273
100	2.716210451
101	2.681626035
102	2.646035296
103	2.612959854
104	2.580127517
105	2.534446707
106	2.493873791
107	2.462811061
108	2.43205602
109	2.392542136
110	2.362131946
111	2.332999902
112	2.302410347
113	2.27342326
114	2.245130225
115	2.217320066
116	2.176810227
117	2.139734752
118	2.11319217
119	2.086675309
120	2.060551749
121	2.033596357
122	2.008197501
123	1.983095032
124	1.958314605
125	1.933854344
126	1.898906717
127	1.862564675
128	1.839178457
129	1.816188726
130	1.793486366
131	1.771026752
132	1.748849519
133	1.726988899
134	1.704807258
135	1.683517406
136	1.662409475
137	1.641629356
138	1.621108989
139	1.60084007
140	1.580832907
141	1.561072496
142	1.541559089
143	1.5222896
144	1.50326098
145	1.484470217
146	1.465914339
147	1.44759041
148	1.429461984
149	1.411593709
150	1.393693648
151	1.376267971
152	1.359064621
153	1.342076313
154	1.325300359
155	1.308734104
156	1.292338238
157	1.276180158
158	1.260227906
159	1.244446468
160	1.228890887
161	1.21352975
162	1.198360628
163	1.18338112
164	1.168588856
165	1.153981495
166	1.139556726
167	1.114655996
168	1.100722795
169	1.08696376
170	1.073353981
171	1.059937056
172	1.046687843
173	1.033604245
174	1.020684191
175	1.007924385
176	0.9953253301
177	0.9828837633
178	0.9705977161
179	0.9584652445
180	0.9464844287
181	0.9346533732
182	0.9229702058
183	0.9114330781
184	0.9000401645
185	0.8887896622
186	0.8776797913
187	0.8667087937
188	0.8558749337
189	0.8451764968
190	0.8346117905
191	0.8241791429
192	0.8138769035
193	0.803703442
194	0.7936561766
195	0.7837354743
196	0.7739387807
197	0.7642645458
198	0.7547112388
199	0.7452773482
200	0.7359613812
201	0.7267618638
202	0.7176773404
203	0.7087063735
204	0.6998475437
205	0.6910994493
206	0.682460706
207	0.6739299471
208	0.6655058226
209	0.6571869997
210	0.6489721621
211	0.6408600099
212	0.6328492597
213	0.6249386438
214	0.6171269107
215	0.6094128242
216	0.6017951637
217	0.5942727241
218	0.5868443149
219	0.5795087609
220	0.5722649013
221	0.5651115899
222	0.5580476949
223	0.5510720986
224	0.5441836973
225	0.537381401
226	0.5306641334
227	0.5240308316
228	0.5174804461
229	0.5110119404
230	0.5046242911
231	0.4983164873
232	0.4920875312
233	0.4859364369
234	0.4798622314
235	0.4738639534
236	0.4679406539
237	0.4620913956
238	0.4563152531
239	0.4506113123
240	0.4449786709
241	0.4394164374
242	0.4339237318
243	0.4284996851
244	0.423143439
245	0.4178541459
246	0.412630969
247	0.4074730818
248	0.4023796682
249	0.3973499223
250	0.3923830482
251	0.38747826
252	0.3826347817
253	0.3778518468
254	0.3731286987
255	0.3684645899
256	0.3638587824
257	0.3593105476
258	0.3548191657
259	0.350383926
260	0.3460041269
261	0.3416790753
262	0.3374080867
263	0.3331904856
264	0.3290256045
265	0.3249127844
266	0.3208513745
267	0.3168407322
268	0.312880223
269	0.3089692202
270	0.3051071049
271	0.301293266
272	0.2975271001
273	0.2938080113
274	0.2901354111
275	0.2865087184
276	0.2829273594
277	0.2793907674
278	0.2758983827
279	0.2724496529
280	0.2690440322
281	0.2656809817
282	0.2623599694
283	0.2590804697
284	0.2558419638
285	0.2526439392
286	0.2494858899
287	0.2463673163
288	0.2432877248
289	0.2402466281
290	0.2372435453
291	0.2342780009
292	0.2313495258
293	0.2284576567
294	0.225601936
295	0.2227819117
296	0.2199971378
297	0.2172471735
298	0.2145315838
299	0.211849939
300	0.2092018147
301	0.206586792
302	0.204004457
303	0.2014544013
304	0.1989362212
305	0.1964495184
306	0.1939938994
307	0.1915689756
308	0.1891743634
309	0.1868096838
310	0.1844745627
311	0.1821686307
312	0.1798915228
313	0.1776428787
314	0.1754223427
315	0.1732295634
316	0.1710641938
317	0.1689258913
318	0.1668143177
319	0.1647291387
320	0.1626700244
321	0.1606366491
322	0.1586286909
323	0.1566458322
324	0.1546877593
325	0.1527541623
326	0.1508447352
327	0.148959176
328	0.1470971863
329	0.1452584714
330	0.1434427405
331	0.1416497062
332	0.1398790849
333	0.1381305963
334	0.1364039638
335	0.1346989142
336	0.1330151778
337	0.131352488
338	0.1297105819
339	0.1280891996
340	0.1264880846
341	0.1249069835
342	0.1233456462
343	0.1218038256
344	0.1202812778
345	0.1187777618
346	0.1172930397
347	0.1158268767
348	0.1143790407
349	0.1129493027
350	0.1115374364
351	0.1101432184
352	0.1087664282
353	0.1074068478
354	0.1060642622
355	0.1047384589
356	0.1034292281
357	0.1021363627
358	0.1008596582
359	0.09959891244
360	0.09835392602
361	0.09712450193
362	0.09591044563
363	0.09471156505
364	0.09352767047
365	0.09235857457
366	0.09120409237
367	0.0900640412
368	0.08893824066
369	0.08782651264
370	0.08672868122
371	0.08564457268
372	0.08457401551
373	0.0835168403
374	0.08247287978
375	0.08144196877
376	0.08042394414
377	0.07941864483
378	0.07842591175
379	0.07744558784
380	0.07647751798
381	0.07552154899
382	0.07457752961
383	0.07364531048
384	0.07272474408
385	0.07181568477
386	0.0709179887
387	0.07003151382
388	0.06915611989
389	0.06829166838
390	0.06743802251
391	0.06659504722
392	0.06576260911
393	0.06494057649
394	0.06412881927
395	0.06332720902
396	0.06253561889
397	0.06175392364
398	0.06098199959
399	0.06021972458
400	0.05946697801
401	0.05872364078
402	0.05798959525
403	0.0572647253
404	0.05654891623
405	0.05584205476
406	0.05514402907
407	0.05445472869
408	0.05377404458
409	0.05310186901
410	0.05243809564
411	0.05178261943
412	0.05113533668
413	0.05049614496
414	0.04986494314
415	0.04924163134
416	0.04862611094
417	0.04801828454
418	0.04741805598
419	0.04682533027
420	0.04624001363
421	0.04566201345
422	0.04509123828
423	0.04452759779
424	0.04397100281
425	0.04342136527
426	0.04287859819
427	0.04234261571
428	0.041813333
429	0.04129066633
430	0.04077453299
431	0.04026485132
432	0.03976154068
433	0.03926452141
434	0.03877371489
435	0.03828904344
436	0.03781043039
437	0.0373378
438	0.0368710775
439	0.03641018902
440	0.03595506165
441	0.03550562338
442	0.03506180308
443	0.03462353053
444	0.03419073639
445	0.03376335218
446	0.03334131027
447	0.03292454389
448	0.03251298708
449	0.03210657474
450	0.03170524255
451	0.03130892701
452	0.03091756542
453	0.03053109584
454	0.03014945714
455	0.02977258892
456	0.02940043155
457	0.02903292615
458	0.02867001457
459	0.02831163938
460	0.02795774389
461	0.02760827208
462	0.02726316868
463	0.02692237906
464	0.02658584932
465	0.0262535262
466	0.02592535712
467	0.02560129015
468	0.02528127402
469	0.02496525809
470	0.02465319235
471	0.02434502745
472	0.0240407146
473	0.02374020566
474	0.02344345309
475	0.02315040992
476	0.02286102979
477	0.02257526691
478	0.02229307607
479	0.02201441262
480	0.02173923246
481	0.02146749205
482	0.02119914839
483	0.02093415903
484	0.02067248204
485	0.02041407601
486	0.02015890006
487	0.0199069138
488	0.01965807738
489	0.01941235141
490	0.01916969701
491	0.01893007579
492	0.01869344984
493	0.01845978172
494	0.01822903444
495	0.01800117151
496	0.01777615686
497	0.0175539549
498	0.01733453046
499	0.01711784882
500	0.01690387571
501	0.01669257726
502	0.01648392004
503	0.01627787104
504	0.01607439765
505	0.01587346767
506	0.01567504932
507	0.0154791112
508	0.01528562231
509	0.01509455203
510	0.01490587013
511	0.01471954675
512	0.01453555241
513	0.014353858
514	0.01417443477
515	0.01399725434
516	0.01382228866
517	0.01364951004
518	0.01347889117
519	0.01331040502
520	0.01314402496
521	0.01297972464
522	0.01281747808
523	0.01265725961
524	0.01249904386
525	0.01234280581
526	0.01218852073
527	0.01203616422
528	0.01188571217
529	0.01173714076
530	0.0115904265
531	0.01144554617
532	0.01130247684
533	0.01116119588
534	0.01102168092
535	0.01088390991
536	0.01074786104
537	0.01061351277
538	0.01048084386
539	0.01034983331
540	0.01022046039
541	0.01009270463
542	0.009966545824
543	0.009841963999
544	0.009718939447
545	0.009597452702
546	0.009477484542
547	0.009359015983
548	0.009242028282
549	0.009126502926
550	0.009012421638
551	0.008899766366
552	0.008788519285
553	0.008678662792
554	0.008570179505
555	0.00846305226
556	0.008357264105
