iter	Passed	Remaining
0	145	145069
1	167	83669
2	211	70270
3	246	61469
4	279	55533
5	313	51860
6	350	49658
7	403	50044
8	437	48222
9	476	47202
10	514	46281
11	550	45305
12	592	45004
13	631	44465
14	667	43813
15	703	43265
16	736	42592
17	778	42445
18	802	41455
19	845	41409
20	871	40648
21	912	40545
22	921	39122
23	957	38923
24	994	38772
25	1032	38673
26	1069	38524
27	1082	37591
28	1091	36546
29	1126	36414
30	1162	36328
31	1199	36284
32	1239	36322
33	1275	36232
34	1313	36217
35	1353	36238
36	1396	36352
37	1435	36331
38	1472	36273
39	1506	36164
40	1543	36109
41	1580	36048
42	1614	35937
43	1635	35537
44	1670	35451
45	1712	35511
46	1751	35507
47	1787	35457
48	1827	35461
49	1843	35026
50	1889	35164
51	1924	35089
52	1960	35034
53	1997	34993
54	2018	34688
55	2057	34679
56	2091	34603
57	2127	34555
58	2164	34520
59	2203	34519
60	2242	34520
61	2283	34544
62	2325	34594
63	2361	34543
64	2396	34472
65	2410	34108
66	2445	34051
67	2458	33690
68	2492	33631
69	2530	33615
70	2564	33558
71	2605	33581
72	2648	33626
73	2688	33648
74	2727	33635
75	2767	33648
76	2806	33639
77	2826	33410
78	2863	33381
79	2898	33336
80	2935	33299
81	2969	33245
82	3009	33247
83	3047	33235
84	3086	33221
85	3125	33213
86	3162	33192
87	3202	33192
88	3240	33166
89	3275	33116
90	3312	33086
91	3349	33059
92	3382	32992
93	3420	32963
94	3461	32975
95	3485	32821
96	3524	32813
97	3566	32829
98	3608	32842
99	3646	32814
100	3690	32848
101	3728	32827
102	3762	32769
103	3795	32701
104	3843	32764
105	3861	32567
106	3901	32557
107	3942	32558
108	3979	32530
109	4004	32398
110	4048	32428
111	4086	32397
112	4124	32376
113	4159	32323
114	4195	32286
115	4232	32254
116	4274	32260
117	4314	32246
118	4358	32266
119	4385	32158
120	4427	32163
121	4471	32178
122	4508	32145
123	4543	32095
124	4580	32061
125	4616	32019
126	4650	31966
127	4691	31964
128	4736	31982
129	4776	31967
130	4814	31937
131	4861	31966
132	4904	31969
133	4940	31929
134	4977	31894
135	5013	31848
136	5047	31794
137	5080	31737
138	5123	31738
139	5166	31737
140	5204	31708
141	5245	31694
142	5284	31668
143	5323	31643
144	5358	31595
145	5380	31470
146	5418	31440
147	5438	31309
148	5473	31260
149	5511	31234
150	5549	31201
151	5589	31181
152	5626	31148
153	5674	31170
154	5716	31164
155	5759	31161
156	5780	31038
157	5818	31006
158	5855	30972
159	5891	30931
160	5927	30886
161	5966	30863
162	6010	30863
163	6049	30835
164	6089	30814
165	6130	30798
166	6171	30783
167	6188	30645
168	6224	30609
169	6267	30599
170	6301	30550
171	6335	30501
172	6374	30470
173	6417	30466
174	6460	30456
175	6500	30435
176	6541	30417
177	6579	30385
178	6616	30347
179	6654	30315
180	6693	30284
181	6727	30237
182	6767	30213
183	6805	30182
184	6846	30162
185	6885	30132
186	6926	30113
187	6968	30098
188	7010	30081
189	7047	30044
190	7086	30015
191	7122	29972
192	7157	29927
193	7197	29904
194	7236	29874
195	7279	29861
196	7326	29862
197	7368	29847
198	7412	29835
199	7451	29805
200	7489	29769
201	7523	29722
202	7560	29683
203	7600	29656
204	7639	29624
205	7678	29596
206	7723	29589
207	7765	29569
208	7804	29537
209	7843	29505
210	7880	29467
211	7922	29447
212	7960	29412
213	7998	29378
214	8039	29354
215	8077	29317
216	8117	29291
217	8160	29271
218	8201	29248
219	8251	29257
220	8294	29235
221	8335	29212
222	8375	29184
223	8413	29147
224	8452	29112
225	8489	29073
226	8523	29025
227	8565	29000
228	8611	28992
229	8652	28967
230	8699	28961
231	8741	28938
232	8782	28911
233	8820	28872
234	8859	28841
235	8894	28793
236	8930	28750
237	8965	28704
238	9004	28669
239	9047	28650
240	9087	28619
241	9128	28593
242	9168	28561
243	9207	28527
244	9253	28515
245	9291	28478
246	9330	28444
247	9367	28403
248	9406	28369
249	9452	28358
250	9497	28341
251	9539	28315
252	9583	28294
253	9623	28265
254	9662	28230
255	9701	28194
256	9738	28155
257	9776	28116
258	9812	28072
259	9853	28045
260	9898	28026
261	9935	27985
262	9976	27955
263	10021	27939
264	10062	27909
265	10099	27869
266	10140	27837
267	10179	27805
268	10218	27768
269	10259	27738
270	10298	27704
271	10338	27671
272	10383	27652
273	10431	27639
274	10472	27608
275	10512	27575
276	10549	27536
277	10588	27499
278	10624	27455
279	10661	27416
280	10701	27381
281	10756	27387
282	10797	27355
283	10836	27319
284	10884	27305
285	10924	27272
286	10966	27243
287	11006	27209
288	11044	27172
289	11084	27138
290	11120	27093
291	11167	27077
292	11210	27050
293	11252	27021
294	11291	26983
