iter	Passed	Remaining
0	490	489996
1	771	384730
2	1073	356681
3	1329	331069
4	1606	319674
5	1886	312584
6	2205	312816
7	2380	295189
8	2666	293614
9	2904	287575
10	3161	284227
11	3479	286447
12	3762	285695
13	4035	284202
14	4337	284836
15	4617	284000
16	4809	278077
17	4934	269218
18	5215	269287
19	5546	271770
20	5781	269521
21	6184	274913
22	6439	273525
23	6689	272038
24	6912	269603
25	7198	269665
26	7498	270241
27	7732	268442
28	8035	269061
29	8392	271352
30	8677	271227
31	8902	269287
32	9155	268287
33	9468	269030
34	9722	268059
35	10001	267822
36	10343	269216
37	10629	269093
38	10771	265432
39	11099	266380
40	11402	266711
41	11616	264963
42	11938	265699
43	12245	266061
44	12541	266159
45	12731	264032
46	12810	259756
47	13011	258058
48	13314	258400
49	13552	257504
50	13931	259236
51	14216	259186
52	14518	259421
53	14738	258194
54	15088	259248
55	15256	257175
56	15493	256327
57	15805	256699
58	16059	256143
59	16339	255989
60	16594	255446
61	16953	256492
62	17277	256968
63	17547	256625
64	17876	257146
65	18146	256804
66	18482	257369
67	18737	256808
68	19052	257064
69	19337	256915
70	19649	257103
71	19977	257491
72	20262	257306
73	20415	255467
74	20699	255298
75	20987	255165
76	21242	254629
77	21338	252227
78	21591	251719
79	21876	251580
80	22191	251778
81	22430	251113
82	22748	251329
83	22985	250652
84	23129	248981
85	23447	249196
86	23696	248676
87	23918	247884
88	24229	248009
89	24403	246744
90	24659	246324
91	24985	246592
92	25265	246407
93	25567	246423
94	25847	246230
95	26149	246236
96	26389	245666
97	26611	244931
98	26802	243929
99	27056	243504
100	27294	242944
101	27526	242341
102	27796	242076
103	28059	241740
104	28249	240789
105	28466	240085
106	28735	239821
107	29030	239768
108	29301	239520
109	29484	238556
110	29801	238682
111	30120	238812
112	30327	238057
113	30616	237953
114	30918	237938
115	31213	237865
116	31499	237727
117	31840	237996
118	32152	238038
119	32439	237886
120	32719	237686
121	32830	236273
122	33115	236117
123	33363	235697
124	33602	235220
125	33861	234879
126	34116	234516
127	34383	234239
128	34622	233766
129	34876	233406
130	35131	233050
131	35402	232800
132	35609	232132
133	35920	232144
134	36238	232195
135	36422	231390
136	36722	231325
137	36946	230782
138	37247	230720
139	37548	230657
140	37898	230883
141	38164	230599
142	38403	230152
143	38635	229664
144	38953	229691
145	39249	229580
146	39584	229697
147	39901	229703
148	40236	229808
149	40443	229177
150	40571	228113
151	40857	227940
152	41166	227897
153	41452	227721
154	41769	227711
155	42039	227444
156	42402	227678
157	42705	227584
158	42990	227391
159	43293	227291
160	43578	227097
161	43834	226749
162	44137	226642
163	44471	226696
164	44804	226739
165	45131	226746
166	45396	226438
167	45667	226160
168	46056	226468
169	46183	225486
170	46463	225253
171	46701	224818
172	47029	224815
173	47266	224381
174	47553	224179
175	47886	224194
176	48077	223545
177	48396	223492
178	48646	223120
179	48949	222989
180	49218	222707
181	49552	222714
182	49760	222153
183	50030	221875
184	50325	221704
185	50612	221496
186	50889	221244
187	51111	220757
188	51377	220459
189	51614	220042
190	51831	219538
191	52086	219197
192	52358	218929
193	52735	219097
194	53069	219083
195	53374	218942
196	53676	218793
197	53917	218394
198	54266	218430
199	54523	218095
200	54809	217875
201	55096	217660
202	55415	217568
203	55796	217715
204	56100	217558
205	56474	217671
206	56728	217324
207	57062	217276
208	57195	216466
209	57207	215207
210	57208	213923
211	57210	212651
212	57212	211390
213	57213	210140
214	57215	208901
215	57216	207673
216	57221	206472
217	57223	205269
218	57227	204085
219	57231	202913
220	57233	201741
221	57235	200582
222	57238	199435
223	57242	198302
224	57245	197180
225	57250	196069
226	57255	194969
227	57257	193870
228	57258	192779
229	57261	191701
230	57263	190631
231	57265	189569
232	57268	188518
233	57270	187474
234	57281	186469
235	57282	185441
236	57285	184425
237	57288	183420
238	57290	182420
239	57292	181426
240	57357	180640
241	57359	179663
242	57379	178748
243	57380	177786
244	57382	176832
245	57384	175886
246	57387	174949
247	57390	174021
248	57391	173096
249	57393	172180
250	57395	171270
251	57398	170374
252	57400	169479
253	57402	168590
254	57403	167708
255	57405	166834
256	57406	165966
257	57408	165104
258	57409	164249
259	57412	163403
260	57444	162649
261	57445	161813
262	57635	161509
263	57946	161547
264	58159	161311
265	58231	160684
266	58330	160135
267	58552	159927
268	58854	159935
269	59173	159987
270	59490	160032
271	59808	160076
272	60048	159908
273	60366	159949
274	60635	159857
275	60874	159684
276	61176	159676
277	61540	159828
278	61794	159690
279	62112	159717
280	62444	159778
281	62684	159600
282	62987	159583
283	63288	159559
284	63607	159576
285	63880	159478
286	64118	159291
287	64356	159104
288	64657	159069
289	64989	159111
290	64989	159111
291	65087	158357
292	65141	157722
293	65145	156972
294	65151	156230
295	65154	155487
296	65156	154746
297	65158	154010
298	65159	153279
299	65161	152551
300	65163	151830
301	65164	151113
302	65166	150400
303	65167	149692
304	65169	148989
305	65171	148291
306	65172	147596
307	65173	146906
308	65175	146221
309	65176	145539
310	65177	144862
311	65178	144189
312	65180	143522
313	65182	142859
314	65183	142199
315	65185	141545
316	65187	140896
317	65189	140250
318	65191	139607
319	65192	138968
320	65193	138333
321	65194	137701
322	65196	137075
323	65198	136453
324	65200	135834
325	65201	135218
326	65202	134605
327	65203	133996
328	65204	133391
329	65205	132790
330	65207	132192
331	65208	131598
332	65209	131007
333	65210	130420
334	65312	130038
335	65473	129773
336	65516	129278
337	65518	128703
338	65519	128131
339	65520	127562
340	65522	126997
341	65523	126434
342	65524	125876
343	65525	125320
344	65526	124767
345	65528	124218
346	65529	123672
347	65530	123129
348	65624	122762
349	65673	122313
350	65674	121778
351	65844	121558
352	66018	121347
353	66129	121018
354	66130	120492
355	66159	120018
356	66344	119829
357	66659	119874
358	67039	120033
359	67365	120094
360	67665	120105
361	68028	120227
362	68391	120346
363	68715	120394
364	69001	120373
365	69364	120484
366	69697	120542
367	69984	120517
368	70078	120162
369	70080	119649
370	70082	119139
371	70093	118648
372	70094	118142
373	70095	117640
374	70097	117141
375	70098	116644
376	70100	116150
377	70122	115692
378	70137	115225
379	70213	114861
380	70260	114450
381	70277	113993
382	70307	113559
383	70666	113656
384	70996	113705
385	71304	113717
386	71601	113709
387	71933	113755
388	72264	113797
389	72626	113887
390	72988	113973
391	73222	113860
392	73588	113949
393	73901	113954
394	74234	113988
395	74565	114019
396	74944	114119
397	75212	114050
398	75545	114077
399	75698	113832
400	76059	113899
401	76440	113993
402	76725	113942
403	77023	113910
404	77164	113645
405	77419	113548
406	77627	113381
407	77927	113348
408	78258	113359
409	78633	113432
410	78872	113306
411	79236	113360
412	79519	113295
413	79869	113325
414	80107	113195
415	80409	113154
416	80741	113153
417	81056	113129
418	81354	113078
419	81684	113071
420	82002	113046
421	82368	113085
422	82703	113079
423	82988	113005
424	83301	112968
425	83587	112892
426	83936	112901
427	84187	112775
428	84488	112717
429	84789	112656
430	85089	112594
431	85359	112491
432	85579	112322
433	85958	112361
434	86228	112255
435	86499	112151
436	86849	112146
437	87166	112099
438	87221	111714
439	87222	111263
440	87224	110814
441	87225	110367
442	87227	109922
443	87228	109479
444	87230	109037
445	87231	108597
446	87232	108159
447	87232	107723
448	87234	107290
449	87235	106859
450	87237	106429
451	87238	106001
452	87239	105575
453	87240	105151
454	87241	104728
455	87242	104307
456	87243	103888
457	87244	103471
458	87245	103055
459	87245	102642
460	87246	102230
461	87247	101820
462	87248	101411
